Supplier_ID,Supplier_Name,Product,Description,Price,City,Latitude,Longitude
SUP38010,Zenith Electronics,SSD M.2 SATA 256GB,256GB M.2 2280 SATA III Internal SSD for Laptop/Desktop,2297.98,Vadodara,22.294654,73.226271
SUP62565,Digital Distributors,CPU Intel Core i7-12700,12th Gen Intel Core i7-12700 12-Core Desktop Processor LGA1700,25714.1,Jaipur,26.935599,75.797166
SUP31174,Orbit Tech,M.2 Heatsink,M.2 2280 NVMe SSD Aluminum Heatsink with Thermal Pad,749.37,Pune,18.486002,73.822299
SUP65724,Apex Distributors,SATA Cable,SATA III 6Gbps Data Cable 50cm Right Angle Connector,101.14,Coimbatore,10.972608,76.992418
SUP14067,Apex Enterprises,Laptop Keyboard Replacement,OEM Replacement Laptop Keyboard with Backlight US Layout,1424.52,Chandigarh,30.743412,76.800207
SUP82132,Global Solutions,Optical Drive DVD,Internal SATA DVD-RW Optical Drive 24x Read/Write,1443.17,Jaipur,26.864458,75.834291
SUP93886,Orbit Enterprises,RAM DDR5 16GB,16GB DDR5 4800MHz DIMM Next-Gen Memory Module,8557.69,Bengaluru,13.004844,77.565834
SUP59192,Core Works,M.2 Heatsink,M.2 2280 NVMe SSD Aluminum Heatsink with Thermal Pad,450.22,Guwahati,26.112682,91.70454
SUP57819,Smart Systems,Laptop Charger 65W,Universal Laptop AC Adapter 65W 19V 3.42A with Multi-Pin Tips,2221.13,Bengaluru,12.952024,77.597076
SUP88047,Rapid Tech,RAM DDR4 16GB,16GB DDR4 3200MHz DIMM Desktop Memory Module,5498.72,Coimbatore,11.009995,76.934923
SUP94246,Cyber Distributors,Fan 120mm Case,120mm ARGB Case Fan PWM 4-Pin Connector 1500RPM,540.23,Thiruvananthapuram,8.535285,76.900549
SUP57472,Inno Works,USB Hub 4-Port,USB 3.0 4-Port Hub with Individual Switches and LED Indicators,1018.96,Bhubaneswar,20.275314,85.811136
SUP53025,Star Mart,CPU AMD Ryzen 7 5800X,AMD Ryzen 7 5800X 8-Core 16-Thread Desktop Processor AM4 Socket,29975.56,Bhopal,23.255507,77.441118
